840: Wright
355: Kiss>Montroll
326: Kiss
271: Wright>Smith
256: Wright>Montroll
234: Kiss>Montroll>Smith
200: Montroll>Kiss
178: Montroll
147: Wright>Montroll>Smith
145: Montroll>Kiss>Smith
139: Montroll>Smith
125: Kiss>Smith
124: Smith
123: Kiss>Montroll>Smith>Wright>Simpson
122: Wright>Smith>Montroll
121: Kiss>Smith>Montroll
120: Kiss>Montroll>Smith>Simpson>Wright
104: Wright>Montroll>Smith>Simpson>Kiss
103: Kiss>Montroll>Simpson>Smith>Wright
102: Wright>Montroll>Smith>Kiss>Simpson
101: Wright>Smith>Montroll>Kiss>Simpson
94: Montroll>Wright
93: Smith>Wright
93: Montroll>Smith>Kiss
90: Smith>Montroll
90: Wright>Smith>Montroll>Simpson>Kiss
88: Smith>Kiss>Montroll
83: Smith>Montroll>Kiss
80: Kiss>Smith>Montroll>Simpson>Wright
80: Wright>Kiss
76: Wright>Smith>Simpson>Montroll>Kiss
72: Montroll>Kiss>Smith>Wright>Simpson
71: Kiss>Montroll>Wright>Smith>Simpson
69: Montroll>Smith>Kiss>Wright>Simpson
69: Wright>Montroll>Kiss>Smith>Simpson
66: Kiss>Wright
62: Montroll>Smith>Wright
61: Montroll>Kiss>Smith>Simpson>Wright
60: Kiss>Montroll>Smith>Wright
60: Montroll>Wright>Smith>Kiss>Simpson
58: Smith>Kiss>Montroll>Simpson>Wright
57: Montroll>Wright>Smith
56: Montroll>Wright>Kiss>Smith>Simpson
55: Kiss>Smith>Montroll>Wright>Simpson
54: Wright>Montroll>Smith>Kiss
53: Montroll>Smith>Kiss>Simpson>Wright
52: Smith>Wright>Montroll>Kiss>Simpson
52: Kiss>Montroll>Simpson
52: Montroll>Smith>Wright>Kiss>Simpson
52: Wright>Smith>Kiss>Montroll>Simpson
51: Smith>Kiss
50: Smith>Wright>Montroll
50: Montroll>Kiss>Wright>Smith>Simpson
50: Wright>Kiss>Montroll>Smith>Simpson
48: Kiss>Montroll>Wright
46: Montroll>Kiss>Wright
46: Wright>Montroll>Kiss
45: Wright>Smith>Montroll>Kiss
45: Wright>Kiss>Smith>Montroll>Simpson
43: Smith>Montroll>Kiss>Wright>Simpson
42: Kiss>Montroll>Smith>Simpson
41: Kiss>Montroll>Simpson>Smith
41: Montroll>Smith>Kiss>Wright
39: Kiss>Wright>Montroll>Smith>Simpson
39: Montroll>Wright>Smith>Simpson>Kiss
38: Smith>Montroll>Kiss>Simpson>Wright
38: Montroll>Kiss>Smith>Wright
37: Smith>Montroll>Wright
37: Montroll>Wright>Smith>Kiss
34: Montroll>Wright>Kiss
32: Smith>Kiss>Montroll>Wright>Simpson
32: Montroll>Smith>Wright>Kiss
31: Smith>Montroll>Wright>Kiss>Simpson
31: Kiss>Wright>Montroll
30: Wright>Smith>Kiss
29: Kiss>Smith>Montroll>Wright
28: Smith>Wright>Montroll>Simpson>Kiss
27: Smith>Kiss>Montroll>Wright
27: Smith>Montroll>Wright>Kiss
27: Smith>Wright>Kiss>Montroll>Simpson
27: Montroll>Smith>Simpson>Kiss>Wright
27: Montroll>Kiss>Simpson>Smith>Wright
26: Smith>Montroll>Kiss>Wright
26: Kiss>Smith>Wright>Montroll>Simpson
25: Wright>Simpson
24: Kiss>Montroll>Wright>Smith
24: Kiss>Simpson>Montroll>Smith>Wright
24: Montroll>Kiss>Wright>Smith
24: Wright>Kiss>Montroll
23: Kiss>Smith>Simpson>Montroll>Wright
23: Montroll>Smith>Wright>Simpson>Kiss
22: Montroll>Kiss>Smith>Simpson
21: Kiss>Smith>Montroll>Simpson
21: Kiss>Wright>Smith>Montroll>Simpson
21: Wright>Kiss>Smith
21: Wright>Kiss>Montroll>Simpson>Smith
20: Montroll>Wright>Kiss>Smith
19: Kiss>Simpson
19: Wright>Smith>Kiss>Montroll
19: Wright>Montroll>Simpson>Smith>Kiss
18: Smith>Montroll>Simpson>Kiss>Wright
17: Smith>Wright>Montroll>Kiss
17: Wright>Smith>Kiss>Simpson>Montroll
16: Smith>Kiss>Wright>Montroll>Simpson
16: Smith>Wright>Kiss
16: Kiss>Simpson>Montroll
16: Wright>Smith>Simpson
15: Smith>Montroll>Simpson>Wright>Kiss
15: Kiss>Smith>Simpson
15: Kiss>Smith>Wright>Montroll
15: Kiss>Wright>Smith>Montroll
15: Wright>Smith>Simpson>Kiss>Montroll
15: Wright>Kiss>Montroll>Smith
15: Wright>Montroll>Kiss>Smith
14: Smith>Kiss>Simpson>Montroll>Wright
14: Kiss>Montroll>Wright>Simpson>Smith
13: Smith>Kiss>Montroll>Simpson
13: Smith>Montroll>Wright>Simpson>Kiss
13: Kiss>Smith>Wright
13: Kiss>Montroll>Simpson>Wright>Smith
13: Montroll>Smith>Kiss>Simpson
12: Smith>Wright>Kiss>Montroll
12: Smith>Wright>Simpson>Montroll>Kiss
12: Kiss>Simpson>Smith>Montroll>Wright
12: Kiss>Wright>Smith
12: Kiss>Wright>Montroll>Smith
12: Kiss>Wright>Montroll>Simpson>Smith
12: Montroll>Kiss>Simpson
12: Montroll>Wright>Simpson>Smith>Kiss
12: Wright>Kiss>Smith>Simpson>Montroll
11: Smith>Kiss>Wright
11: Montroll>Smith>Simpson>Wright>Kiss
11: Montroll>Kiss>Simpson>Smith
11: Montroll>Kiss>Wright>Simpson>Smith
11: Wright>Simpson>Smith>Montroll>Kiss
11: Wright>Write-In
10: Smith>Kiss>Wright>Simpson>Montroll
10: Write-In
10: Wright>Smith>Montroll>Simpson
10: Wright>Simpson>Smith>Kiss>Montroll
9: Smith>Simpson>Montroll>Kiss>Wright
9: Kiss>Smith>Montroll>Simpson>Write-In
9: Kiss>Smith>Simpson>Montroll
9: Kiss>Montroll>Smith>Simpson>Write-In
9: Montroll>Simpson>Smith
9: Montroll>Simpson>Kiss>Smith>Wright
9: Wright>Montroll>Kiss>Simpson>Smith
8: Smith>Kiss>Wright>Montroll
8: Smith>Montroll>Kiss>Simpson
8: Kiss>Simpson>Smith
8: Kiss>Simpson>Montroll>Smith
8: Montroll>Smith>Simpson
8: Montroll>Simpson>Smith>Kiss>Wright
8: Montroll>Simpson>Smith>Wright>Kiss
8: Wright>Simpson>Smith
7: Smith>Kiss>Simpson
7: Kiss>Simpson>Montroll>Wright>Smith
7: Montroll>Simpson>Kiss
7: Wright>Montroll>Smith>Simpson
7: Wright>Montroll>Simpson>Kiss>Smith
6: Smith>Simpson
6: Kiss>Smith>Simpson>Montroll>Write-In
6: Kiss>Smith>Simpson>Wright>Montroll
6: Kiss>Simpson>Smith>Montroll
6: Kiss>Wright>Smith>Simpson>Montroll
6: Kiss>Wright>Simpson>Smith>Montroll
6: Montroll>Kiss>Smith>Simpson>Write-In
5: Smith>Kiss>Montroll>Write-In>Simpson
5: Smith>Kiss>Simpson>Montroll
5: Smith>Montroll>Simpson
5: Smith>Simpson>Kiss>Montroll>Wright
5: Smith>Simpson>Montroll
5: Smith>Wright>Kiss>Simpson>Montroll
5: Kiss>Smith>Wright>Simpson>Montroll
5: Kiss>Wright>Simpson>Montroll>Smith
5: Montroll>Write-In
5: Montroll>Wright>Smith>Simpson
5: Wright>Smith>Simpson>Montroll
5: Wright>Kiss>Smith>Montroll
5: Wright>Simpson>Montroll>Smith>Kiss
4: Smith>Simpson>Kiss>Montroll
4: Smith>Wright>Simpson
4: Kiss>Smith>Montroll>Write-In>Simpson
4: Kiss>Write-In
4: Kiss>Write-In>Montroll>Smith>Simpson
4: Kiss>Wright>Montroll>Simpson
4: Montroll>Smith>Wright>Simpson
4: Montroll>Smith>Wright>Write-In
4: Montroll>Kiss>Simpson>Wright>Smith
4: Montroll>Kiss>Wright>Simpson
4: Montroll>Simpson
4: Simpson>Smith>Kiss>Montroll>Wright
4: Wright>Smith>Write-In
4: Wright>Montroll>Write-In
4: Wright>Simpson>Montroll>Kiss
4: Wright>Simpson>Montroll>Kiss>Smith
3: Smith>Montroll>Kiss>Write-In>Simpson
3: Smith>Montroll>Write-In
3: Smith>Simpson>Montroll>Kiss>Write-In
3: Smith>Wright>Montroll>Simpson
3: Smith>Wright>Simpson>Montroll
3: Kiss>Smith>Write-In>Montroll>Simpson
3: Kiss>Montroll>Simpson>Smith>Write-In
3: Kiss>Simpson>Smith>Wright>Montroll
3: Kiss>Simpson>Wright>Montroll>Smith
3: Montroll>Kiss>Smith>Wright>Write-In
3: Montroll>Kiss>Write-In
3: Montroll>Wright>Kiss>Simpson>Smith
3: Montroll>Wright>Simpson
3: Simpson
3: Simpson>Kiss
3: Simpson>Wright
3: Write-In>Kiss
3: Write-In>Montroll
3: Write-In>Wright
3: Wright>Montroll>Simpson
3: Wright>Simpson>Write-In
2: Smith>Kiss>Montroll>Write-In>Wright
2: Smith>Kiss>Simpson>Montroll>Write-In
2: Smith>Kiss>Write-In>Montroll>Simpson
2: Smith>Montroll>Kiss>Write-In>Wright
2: Smith>Montroll>Kiss>Wright>Write-In
2: Smith>Montroll>Simpson>Kiss
2: Smith>Simpson>Kiss
2: Smith>Simpson>Kiss>Wright>Montroll
2: Smith>Simpson>Wright
2: Smith>Simpson>Wright>Montroll>Kiss
2: Smith>Wright>Simpson>Kiss>Montroll
2: Smith>Wright>Write-In
2: Kiss>Smith>Write-In
2: Kiss>Montroll>Write-In
2: Kiss>Montroll>Wright>Write-In
2: Kiss>Simpson>Smith>Wright
2: Kiss>Simpson>Montroll>Write-In>Smith
2: Kiss>Simpson>Wright
2: Kiss>Wright>Smith>Simpson
2: Montroll>Smith>Kiss>Simpson>Write-In
2: Montroll>Smith>Simpson>Kiss
2: Montroll>Smith>Wright>Simpson>Write-In
2: Montroll>Smith>Wright>Write-In>Kiss
2: Montroll>Kiss>Smith>Write-In>Simpson
2: Montroll>Simpson>Smith>Wright
2: Montroll>Simpson>Kiss>Smith
2: Montroll>Simpson>Kiss>Wright
2: Montroll>Simpson>Wright
2: Montroll>Simpson>Wright>Smith>Kiss
2: Montroll>Simpson>Wright>Kiss>Smith
2: Montroll>Write-In>Kiss>Smith>Simpson
2: Simpson>Kiss>Montroll
2: Simpson>Kiss>Montroll>Wright>Smith
2: Write-In>Montroll>Smith
2: Write-In>Montroll>Smith>Kiss>Simpson
