0 0.451169 	Gradual-[CGTT(wv)](None, cardinal)
8.46807e-05 0.451533 	Dodgson-Quick(keener)
0.000211302 0.451335 	Gradual-[MDD(direct)(wv)](None, cardinal)
0.000336237 0.451899 	Gradual-[MDD(direct)(wv)](None, ordinal)
0.00167617 0.451881 	Gradual-[CGTT(wv)](None, ordinal)
0.00170236 0.451556 	Gradual-[CDTT(wv)](None, cardinal)
0.00192075 0.451559 	Gradual-[CDTT(wv)](None, ordinal)
0.131224 0.421722 	Minmax(tourn-wv)
0.138575 0.457307 	Maximin(tourn-wv)
0.159046 0.610246 	[SDom(wv)],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.159252 0.610308 	[SDom(wv)],[Gradual-[CGTT(wv)](None, ordinal)]
0.15963 0.61052 	[SDom(wv)],[Dodgson-Quick(keener)]
0.160081 0.609829 	[SDom(wv)],[Gradual-[CGTT(wv)](None, cardinal)]
0.160085 0.767486 	Maximin(wv)
0.160422 0.609925 	[SDom(wv)],[Gradual-[CDTT(wv)](None, cardinal)]
0.161194 0.60938 	[SDom(wv)],[Gradual-[CDTT(wv)](None, ordinal)]
0.161403 0.60973 	[SDom(wv)],[Gradual-[MDD(direct)(wv)](None, ordinal)]
0.161965 0.769213 	Maximin(fwv)
0.162247 0.768163 	Maximin(rel-margins)
0.205002 0.60666 	[SDom(wv)],[Maximin(tourn-wv)]
0.20656 0.257041 	Maximin(w/tv)
0.254289 0.599761 	[SDom(wv)],[Minmax(tourn-wv)]
0.26938 0.829646 	[SDom(wv)],[Maximin(wv)]
0.270178 0.830034 	[SDom(wv)],[Maximin(fwv)]
0.270674 0.831143 	[SDom(wv)],[Maximin(rel-margins)]
0.28136 0.837078 	[SDom(wv)],[Maximin(w/tv)]
0.314619 0.412854 	[Condorcet],[Gradual-[CGTT(wv)](None, cardinal)]
0.314958 0.413047 	[Condorcet],[Gradual-[MDD(direct)(wv)](None, ordinal)]
0.315459 0.413549 	[Condorcet],[Dodgson-Quick(keener)]
0.315956 0.412938 	[Condorcet],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.316216 0.413536 	[Condorcet],[Gradual-[CDTT(wv)](None, ordinal)]
