Kemeny(wv)	-59.9435 85.9133 
Ext-Minmax(wv)	-57.1859 83.0706 
Ext-Minmin(wv)	-60.327 85.4999 
Minmax(wv)	-57.0971 82.5497 
Maximin(wv)	-66.6994 73.3121 
L-R offense/0.25(wv)	-61.1357 85.1127 
L-R defense/0.25(wv)	-60.257 85.3829 
L-R both/0.25(wv)	-60.6582 85.156 
L-R offense/0.5(wv)	-61.1354 85.1125 
L-R defense/0.5(wv)	-60.2563 85.3828 
L-R both/0.5(wv)	-60.658 85.1562 
L-R offense/0.75(wv)	-61.1361 85.1073 
L-R defense/0.75(wv)	-60.2526 85.3787 
L-R both/0.75(wv)	-60.6579 85.1552 
L-R offense/1(wv)	-61.1509 85.0735 
L-R defense/1(wv)	-60.2342 85.3549 
L-R both/1(wv)	-60.6691 85.1565 
L-R offense/1.25(wv)	-61.1644 84.994 
L-R defense/1.25(wv)	-60.1666 85.3111 
L-R both/1.25(wv)	-60.6574 85.1444 
L-R offense/1.5(wv)	-61.2002 84.8941 
L-R defense/1.5(wv)	-60.1133 85.2695 
L-R both/1.5(wv)	-60.6507 85.1059 
L-R offense/1.75(wv)	-61.2461 84.79 
L-R defense/1.75(wv)	-60.0402 85.2157 
L-R both/1.75(wv)	-60.6398 85.0544 
L-R offense/2(wv)	-61.3041 84.68 
L-R defense/2(wv)	-59.9727 85.1673 
L-R both/2(wv)	-60.6261 85.0012 
L-R offense/2.25(wv)	-61.3676 84.5736 
L-R defense/2.25(wv)	-59.8965 85.1132 
L-R both/2.25(wv)	-60.6161 84.9496 
Copeland	-61.4502 85.7937 
2. order Copeland/2/1	-60.8666 85.9741 
2. order Copeland	-61.323 86.997 
Schulze(wv)	-59.7025 85.6592 
Ranked Pairs(wv)	-59.7237 85.8975 
River(wv)	-61.7806 75.8657 
Dodgson-Quick(wv)	-60.2939 85.3885 
Keener(0.001, +0, raw)(wv)	-67.6622 89.3061 
Keener(0.001, +0, norm)(wv)	-69.2121 76.4062 
Keener(0.001, +1, raw)(wv)	-60.6685 85.9211 
Keener(0.001, +1, norm)(wv)	-69.3397 76.3974 
Sinkhorn(0.001, +1)(wv)	-60.6447 85.5557 
Sinkhorn(0.001, +0)(wv)	-58.7543 88.9483 
ODM(0.001)(wv)	-60.4806 85.7275 
HITS(0.001)(wv)	-61.4403 84.8187 
ODM-arctan(0.001)(wv)	-60.6543 85.2262 
Kemeny(PO)	-59.9435 85.9133 
Ext-Minmax(PO)	-57.2219 83.0519 
Ext-Minmin(PO)	-63.4253 79.9114 
Minmax(PO)	-57.0971 82.5497 
Maximin(PO)	-57.0942 82.5399 
L-R offense/0.25(PO)	-60.0221 83.3075 
L-R defense/0.25(PO)	-60.5602 82.9057 
L-R both/0.25(PO)	-60.2705 83.0168 
L-R offense/0.5(PO)	-60.1051 83.3134 
L-R defense/0.5(PO)	-60.4874 83.0689 
L-R both/0.5(PO)	-60.2648 83.1081 
L-R offense/0.75(PO)	-60.1683 83.3043 
L-R defense/0.75(PO)	-60.4304 83.1734 
