Kemeny(wv)	0.345141 0.971103 
Ext-Minmax(wv)	0.692218 -3.38936 
Ext-Minmin(wv)	1.05346 1.09407 
Minmax(wv)	0.149742 -3.68217 
Maximin(wv)	-6.45227 -9.05202 
L-R offense/0.25(wv)	1.98651 1.6468 
L-R defense/0.25(wv)	1.14243 0.983128 
L-R both/0.25(wv)	1.65097 1.21918 
L-R offense/0.5(wv)	1.98762 1.64211 
L-R defense/0.5(wv)	1.13427 0.984222 
L-R both/0.5(wv)	1.64946 1.21613 
L-R offense/0.75(wv)	1.98983 1.64491 
L-R defense/0.75(wv)	1.13385 0.974403 
L-R both/0.75(wv)	1.65401 1.21639 
L-R offense/1(wv)	2.01283 1.63291 
L-R defense/1(wv)	1.13928 0.941537 
L-R both/1(wv)	1.64329 1.2115 
L-R offense/1.25(wv)	2.10572 1.61611 
L-R defense/1.25(wv)	1.13349 0.865732 
L-R both/1.25(wv)	1.67582 1.19593 
L-R offense/1.5(wv)	2.20061 1.60031 
L-R defense/1.5(wv)	1.14462 0.795597 
L-R both/1.5(wv)	1.70179 1.16252 
L-R offense/1.75(wv)	2.30735 1.58367 
L-R defense/1.75(wv)	1.14198 0.697892 
L-R both/1.75(wv)	1.73748 1.11972 
L-R offense/2(wv)	2.40918 1.56651 
L-R defense/2(wv)	1.12585 0.62491 
L-R both/2(wv)	1.78585 1.06831 
L-R offense/2.25(wv)	2.52949 1.56264 
L-R defense/2.25(wv)	1.1296 0.522648 
L-R both/2.25(wv)	1.84099 1.01846 
Copeland	0.943343 1.98262 
2. order Copeland/2/1	1.21261 2.02217 
2. order Copeland	0.519318 2.95409 
Schulze(wv)	0.230911 0.537156 
Ranked Pairs(wv)	0.144914 0.766131 
River(wv)	-7.28269 -0.268284 
Dodgson-Quick(wv)	1.10779 0.996535 
Keener(0.001, +0, raw)(wv)	-5.30565 5.17275 
Keener(0.001, +0, norm)(wv)	1.54545 12.1197 
Keener(0.001, +1, raw)(wv)	1.61925 2.05739 
Keener(0.001, +1, norm)(wv)	2.31379 12.1819 
Sinkhorn(0.001, +1)(wv)	1.6282 1.69298 
Sinkhorn(0.001, +0)(wv)	4.2968 4.62445 
ODM(0.001)(wv)	1.78577 1.94751 
HITS(0.001)(wv)	2.48189 1.83597 
ODM-arctan(0.001)(wv)	1.60514 1.28099 
Kemeny(PO)	0.356651 0.990559 
Ext-Minmax(PO)	0.755443 -3.3754 
Ext-Minmin(PO)	6.96636 0.553945 
Minmax(PO)	0.149855 -3.66779 
Maximin(PO)	0.15655 -3.68945 
L-R offense/0.25(PO)	2.43837 -0.661575 
L-R defense/0.25(PO)	3.19234 -0.356609 
L-R both/0.25(PO)	2.86008 -0.586098 
L-R offense/0.5(PO)	2.50586 -0.581915 
L-R defense/0.5(PO)	3.01468 -0.356931 
L-R both/0.5(PO)	2.79739 -0.538199 
L-R offense/0.75(PO)	2.56085 -0.521281 
L-R defense/0.75(PO)	2.87617 -0.348812 
L-R both/0.75(PO)	2.75396 -0.50936 
L-R offense/1(PO)	2.66763 -0.419853 
L-R defense/1(PO)	2.66331 -0.423187 
L-R both/1(PO)	2.66457 -0.429838 
L-R offense/1.25(PO)	2.83679 -0.323756 
L-R defense/1.25(PO)	2.53139 -0.497466 
L-R both/1.25(PO)	2.65554 -0.343548 
L-R offense/1.5(PO)	2.89848 -0.277744 
L-R defense/1.5(PO)	2.46107 -0.519881 
L-R both/1.5(PO)	2.64823 -0.335744 
L-R offense/1.75(PO)	2.98184 -0.254425 
L-R defense/1.75(PO)	2.38781 -0.555536 
L-R both/1.75(PO)	2.66765 -0.331669 
L-R offense/2(PO)	3.05419 -0.199679 
L-R defense/2(PO)	2.33244 -0.588888 
L-R both/2(PO)	2.67345 -0.422842 
L-R offense/2.25(PO)	3.14007 -0.182979 
L-R defense/2.25(PO)	2.27587 -0.645747 
L-R both/2.25(PO)	2.7399 -0.505499 
Copeland	0.961239 1.98806 
2. order Copeland/2/1	1.196 2.01197 
2. order Copeland	0.513237 2.94884 
Schulze(PO)	0.240412 0.553097 
Ranked Pairs(PO)	0.154368 0.730472 
River(PO)	-7.23759 -0.0667953 
Dodgson-Quick(PO)	2.61702 -0.529795 
