0 0.872558 	Dodgson-Quick(keener)
7.77316e-05 0.87271 	Gradual-[MDD(direct)(wv)](None, ordinal)
0.000757774 0.871894 	Gradual-[CDTT(wv)](None, ordinal)
0.00089789 0.871752 	Gradual-[CDTT(wv)](None, cardinal)
0.00109031 0.830289 	VMedianOS-10()
0.00111366 0.87208 	Gradual-[CGTT(wv)](None, cardinal)
0.00113449 0.871439 	Gradual-[MDD(direct)(wv)](None, cardinal)
0.00133737 0.871356 	Gradual-[CGTT(wv)](None, ordinal)
0.00141522 0.830155 	VMedianOS-10(norm)
0.160675 0.535738 	[SDom(wv)],[VMedianOS-10(norm)]
0.161159 0.535527 	[SDom(wv)],[VMedianOS-10()]
0.161171 0.560166 	[SDom(wv)],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.161375 0.560624 	[SDom(wv)],[Dodgson-Quick(keener)]
0.161423 0.561235 	[SDom(wv)],[Gradual-[MDD(direct)(wv)](None, ordinal)]
0.161879 0.560621 	[SDom(wv)],[Gradual-[CDTT(wv)](None, cardinal)]
0.161928 0.560515 	[SDom(wv)],[Gradual-[CGTT(wv)](None, cardinal)]
0.162142 0.561165 	[SDom(wv)],[Gradual-[CDTT(wv)](None, ordinal)]
0.162838 0.559284 	[SDom(wv)],[Gradual-[CGTT(wv)](None, ordinal)]
0.37446 0.499779 	[SDom(wv)],[Maximin(tourn-wv)]
0.383333 0.662098 	2. order Copeland
0.384443 0.661836 	2. order Copeland
0.384445 0.663204 	2. order Copeland
0.384763 0.663047 	2. order Copeland
0.385121 0.662689 	2. order Copeland
0.38515 0.662758 	2. order Copeland
0.385245 0.662412 	2. order Copeland
0.398058 0.615434 	Minmax(tourn-wv)
0.406041 0.238842 	[SDom(wv)],[Random Pair]
0.431312 0.258776 	AVGEliminate-[Plurality]/fd
0.436636 0.489979 	[SDom(wv)],[2. order Copeland]
0.436883 0.489416 	[SDom(wv)],[2. order Copeland]
0.436981 0.489851 	[SDom(wv)],[2. order Copeland]
0.437408 0.489634 	[SDom(wv)],[2. order Copeland]
0.437439 0.489541 	[SDom(wv)],[2. order Copeland]
0.43789 0.489926 	[SDom(wv)],[2. order Copeland]
0.438014 0.489428 	[SDom(wv)],[2. order Copeland]
0.443712 0.322061 	Eliminate-[Plurality]/fd
0.448789 0.485875 	[SDom(wv)],[Minmax(tourn-wv)]
0.451694 0.174932 	[SDom(wv)],[Plurality]
0.463675 0.240433 	[SDom(wv)],[AVGEliminate-[Plurality]/fd]
0.470842 0.249989 	Eliminate-[Antiplurality]/fd
0.490934 0.238479 	[SDom(wv)],[Eliminate-[Antiplurality]/fd]
0.493402 0.133162 	[SDom(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.494015 0.133144 	[SDom(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.494252 0.133021 	Gradual-[SDom(wv)](None, cardinal)
0.494383 0.133351 	Gradual-[SDom(wv)](None, ordinal)
0.500258 0.311333 	[SDom(wv)],[Maximin(keener)]
0.500282 0.311588 	Minmax(wv)
0.500374 0.311474 	[SDom(wv)],[Minmax(rel-margins)]
0.500378 0.311325 	[SDom(wv)],[Minmax(keener)]
0.500524 0.311654 	[SDom(wv)],[Minmax(wv)]
0.500584 0.311539 	Minmax(PO)
0.500586 0.311398 	Minmax(w/tv)
0.500586 0.311679 	Maximin(PO)
0.500778 0.311615 	Minmax(fwv)
0.500781 0.311463 	Minmax(rel-margins)
0.50085 0.311361 	[SDom(wv)],[Minmax(w/tv)]
0.500897 0.311337 	[SDom(wv)],[Minmax(PO)]
0.500903 0.311323 	Maximin(keener)
0.501015 0.312145 	[SDom(wv)],[Minmax(fwv)]
0.501193 0.311845 	Minmax(keener)
0.501485 0.311675 	[SDom(wv)],[Maximin(PO)]
0.508485 0.167245 	[SDom(wv)],[AVGEliminate-[Antiplurality]/fd]
0.509482 0.478295 	[SDom(wv)],[Gradual-[Condorcet](None, ordinal)]
0.509815 0.478323 	[SDom(wv)],[Gradual-[Condorcet](None, cardinal)]
0.515188 0.476772 	[SDom(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.515203 0.476971 	[SDom(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.515418 0.475941 	[SDom(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.51563 0.476582 	[SDom(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.519219 0.0592246 	Antiplurality
0.521411 0.29505 	[SDom(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.52376 0.341658 	AVGEliminate-[Nauru Borda]/fd
0.525679 0.0731883 	[SDom(wv)],[Antiplurality]
0.534713 0.46992 	[SDom(wv)],[L-R defense/2(tourn-wv)]
0.534948 0.327889 	Ext-Minmax(fwv)
0.535153 0.469311 	[SDom(wv)],[L-R defense/2.25(tourn-wv)]
0.535179 0.328402 	[SDom(wv)],[Ext-Minmax(fwv)]
0.535231 0.469123 	[SDom(wv)],[Ext-Minmax(tourn-wv)]
0.535318 0.469539 	[SDom(wv)],[Dodgson-Quick(fwv)]
0.535527 0.468659 	[SDom(wv)],[Dodgson-Quick(rel-margins)]
0.535582 0.327886 	[SDom(wv)],[Ext-Minmax(rel-margins)]
0.53561 0.469731 	[SDom(wv)],[L-R defense/0.5(tourn-wv)]
0.535617 0.469891 	[SDom(wv)],[L-R defense/0.75(tourn-wv)]
0.535619 0.469191 	[SDom(wv)],[L-R defense/1.25(tourn-wv)]
0.535626 0.468594 	[SDom(wv)],[Ext-Minmin(tourn-wv)]
0.535728 0.469737 	[SDom(wv)],[L-R defense/1.5(tourn-wv)]
0.535742 0.328017 	Ext-Minmax(rel-margins)
0.535744 0.468829 	[SDom(wv)],[L-R defense/1.75(tourn-wv)]
0.535745 0.468439 	[SDom(wv)],[L-R defense/0.25(tourn-wv)]
0.535754 0.469883 	[SDom(wv)],[Dodgson-Quick(tourn-wv)]
0.535908 0.468856 	[SDom(wv)],[L-R defense/1(tourn-wv)]
0.53627 0.477046 	[SDom(wv)],[Copeland]
0.536501 0.476686 	[SDom(wv)],[Copeland]
0.536568 0.476531 	[SDom(wv)],[L-R offense/1(tourn-wv)]
0.536644 0.476561 	[SDom(wv)],[Copeland]
0.536681 0.47657 	[SDom(wv)],[Copeland]
0.536706 0.476562 	[SDom(wv)],[L-R offense/0.5(tourn-wv)]
0.53684 0.476232 	[SDom(wv)],[L-R offense/1.75(tourn-wv)]
0.536863 0.476238 	[SDom(wv)],[L-R offense/0.25(tourn-wv)]
0.536867 0.476384 	[SDom(wv)],[Copeland]
0.536878 0.47678 	[SDom(wv)],[L-R offense/2(tourn-wv)]
0.536879 0.476358 	[SDom(wv)],[Copeland]
0.536885 0.47622 	[SDom(wv)],[L-R offense/1.25(tourn-wv)]
