0 0.789281 0.185281	Random Pair
0.168772 0.000347936 0.0316124	2. order Copeland
0.168773 0.000401605 0.0316124	Minmax(tourn-wv)
0.16884 0 0.0316124	2. order Copeland
0.168961 0.00104626 0.0316124	2. order Copeland
0.169127 2.81939e-05 0.0316124	2. order Copeland
0.169177 0.000287634 0.0316124	2. order Copeland
0.180091 0.658457 0.0320437	Eliminate-[Antiplurality]/fd
0.230824 0.809739 0.0341257	AVGEliminate-[Antiplurality]/fd
0.231054 0.0654206 0.0216447	Gradual-[2. order Copeland](None, ordinal)
0.231066 0.392558 0.0312462	Gradual-[Condorcet](None, ordinal)
0.242996 0.401245 0.0310071	Gradual-[Condorcet](None, cardinal)
0.249525 1.01371 0.0689694	Mode-Ratings
0.289441 0.105775 0.0215196	Gradual-[2. order Copeland](None, cardinal)
0.298729 0.558695 0.031873	[MDD(sum)(wv)],[Random Pair]
0.29907 0.613364 0.0310498	Ranked Pairs(tourn-wv)
0.299813 0.613412 0.0310498	[MDD(sum)(wv)],[Ranked Pairs(tourn-wv)]
0.303774 0.562421 0.0310498	Keener(0.001, +1, norm)(tourn-wv)
0.304274 0.561794 0.0310498	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.319643 0.55683 0.0300487	[MDD(sum)(wv)],[Eliminate-[Plurality]/fd]
0.32572 0.572468 0.027291	[MDD(sum)(wv)],[Eliminate-[Antiplurality]/fd]
0.328292 0.563465 0.0261254	[MDD(sum)(wv)],[AVGEliminate-[Plurality]/fd]
0.330222 0.566715 0.0291837	[MDD(sum)(wv)],[Eliminate-[Nauru Borda]/fd]
0.33056 0.578118 0.0250676	[MDD(sum)(wv)],[AVGEliminate-[Antiplurality]/fd]
0.334495 0.574864 0.0240183	[MDD(sum)(wv)],[Antiplurality]
0.336185 0.559559 0.0241284	[MDD(sum)(wv)],[Plurality]
0.336533 0.825835 0.0197796	VMedianOS-10(norm, tiebreak)
0.338175 0.517719 0.0310071	[MDD(sum)(wv)],[Gradual-[Condorcet](None, cardinal)]
0.339223 0.517513 0.0308142	[MDD(sum)(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.339225 0.517558 0.0308142	Gradual-[Smith(wv)](None, cardinal)
0.339291 0.510746 0.0316124	[MDD(sum)(wv)],[L-R both/1.75(tourn-wv)]
0.339296 0.510743 0.0316124	ODM-arctan(0.001)(tourn-wv)
0.339303 0.510717 0.0316124	2. order Copeland/2/1
0.339306 0.510754 0.0316124	Keener(0.001, +1, raw)(tourn-wv)
