7.77316e-05 0.87271 	Gradual-[MDD(direct)(wv)](None, ordinal)
0.000757774 0.871894 	Gradual-[CDTT(wv)](None, ordinal)
0.00089789 0.871752 	Gradual-[CDTT(wv)](None, cardinal)
0.00109031 0.830289 	VMedianOS-10()
0.00111366 0.87208 	Gradual-[CGTT(wv)](None, cardinal)
0.00113449 0.871439 	Gradual-[MDD(direct)(wv)](None, cardinal)
0.00133737 0.871356 	Gradual-[CGTT(wv)](None, ordinal)
0.00141522 0.830155 	VMedianOS-10(norm)
0.383333 0.662098 	2. order Copeland
0.384443 0.661836 	2. order Copeland
0.384445 0.663204 	2. order Copeland
0.384763 0.663047 	2. order Copeland
0.385121 0.662689 	2. order Copeland
0.38515 0.662758 	2. order Copeland
0.385245 0.662412 	2. order Copeland
0.398058 0.615434 	Minmax(tourn-wv)
0.431312 0.258776 	AVGEliminate-[Plurality]/fd
0.443712 0.322061 	Eliminate-[Plurality]/fd
0.470842 0.249989 	Eliminate-[Antiplurality]/fd
0.494252 0.133021 	Gradual-[SDom(wv)](None, cardinal)
0.494383 0.133351 	Gradual-[SDom(wv)](None, ordinal)
0.500282 0.311588 	Minmax(wv)
0.500584 0.311539 	Minmax(PO)
0.500586 0.311398 	Minmax(w/tv)
0.500586 0.311679 	Maximin(PO)
0.500778 0.311615 	Minmax(fwv)
0.500781 0.311463 	Minmax(rel-margins)
0.519219 0.0592246 	Antiplurality
0.52376 0.341658 	AVGEliminate-[Nauru Borda]/fd
0.534948 0.327889 	Ext-Minmax(fwv)
0.535742 0.328017 	Ext-Minmax(rel-margins)
0.541583 0.355643 	Eliminate-[Nauru Borda]/fd
0.541606 0.325214 	Ext-Minmax(w/tv)
0.548351 0.340219 	L-R defense/1.25(rel-margins)
0.559491 0.34617 	L-R defense/1(rel-margins)
0.569281 0.356092 	L-R defense/0.75(rel-margins)
0.57528 0.569437 	Gradual-[Condorcet](None, ordinal)
0.575374 0.569333 	Gradual-[Condorcet](None, cardinal)
0.588997 0.281669 	Ext-Minmax(wv)
0.589062 0.281727 	Ext-Minmax(PO)
0.600821 0.336608 	AVGEliminate-[NREM-Opt]/fd
0.601105 0.336481 	AVGEliminate-[Borda]/fd
0.601466 0.335307 	AVGEliminate-[VoteForAgainst]/fd
0.601883 0.305521 	Ranked Pairs(tourn-wv)
0.610051 0.388314 	L-R defense/0.5(rel-margins)
0.614025 0.482991 	L-R defense/0.75(tourn-wv)
0.614026 0.482989 	Dodgson-Quick(fwv)
0.614026 0.482989 	L-R defense/1(tourn-wv)
0.614026 0.48299 	L-R defense/1.5(tourn-wv)
0.614027 0.482988 	L-R defense/1.25(tourn-wv)
0.614027 0.482988 	L-R defense/2(tourn-wv)
0.614028 0.482986 	L-R defense/1.75(tourn-wv)
0.614028 0.482987 	Ext-Minmax(tourn-wv)
0.614028 0.482987 	L-R defense/0.5(tourn-wv)
0.614028 0.482988 	Ext-Minmin(tourn-wv)
0.614029 0.482986 	Dodgson-Quick(tourn-wv)
0.614029 0.482986 	L-R defense/2.25(tourn-wv)
0.61403 0.482983 	Dodgson-Quick(rel-margins)
