


0 0.723221 	Mode-Ratings
0.0351892 0.441729 	Plurality
0.0401185 0.619319 	Random Pair
0.0548531 0.475971 	AVGEliminate-[Plurality]/fd
0.172773 0.621324 	VoteForAgainst
0.195745 0.172226 	Maximin(fwv)
0.195764 0.172186 	Maximin(wv)
0.196 0.17256 	Maximin(rel-margins)
0.205317 0.688486 	Eliminate-[Antiplurality]/fd
0.208942 0.413692 	Antiplurality
0.234228 0.161278 	Maximin(w/tv)
0.24859 0.879631 	Ext-Minmin(PO)
0.248755 0.879336 	Ext-Minmin(keener)
0.321215 0.845968 	L-R offense/2.25(rel-margins)
0.33056 0.839482 	L-R offense/2(rel-margins)
0.340274 0.83318 	L-R offense/1.75(rel-margins)
0.345589 0.833099 	HITS(0.001)(rel-margins)
0.351941 0.824777 	L-R offense/1.5(rel-margins)
0.364201 0.813704 	L-R offense/1.25(rel-margins)
0.376643 0.798866 	L-R offense/1(rel-margins)
0.380169 0.66734 	Gradual-[Landau(wv)](None, ordinal)
0.380876 0.797481 	Keener(0.001, +1, raw)(rel-margins)
0.381813 0.695269 	Schulze(wv)
0.38187 0.69518 	Schulze(keener)
0.381934 0.695175 	Schulze(PO)
0.381952 0.695241 	Schulze(rel-margins)
0.381987 0.695316 	Schulze(w/tv)
0.382061 0.69524 	Schulze(fwv)
0.382733 0.662172 	Gradual-[Landau(wv)](None, cardinal)
0.390974 0.780905 	L-R offense/0.75(rel-margins)
0.397045 0.89107 	Keener(0.001, +1, norm)(PO)
0.401038 0.72906 	HITS(0.001)(fwv)
0.401099 0.729051 	HITS(0.001)(wv)
0.405017 0.756378 	L-R offense/0.5(rel-margins)
0.407221 0.670916 	Gradual-[2. order Copeland](None, ordinal)
0.407257 0.726932 	HITS(0.001)(w/tv)
0.407404 0.672397 	Gradual-[2. order Copeland](None, cardinal)
0.407768 0.7389 	L-R offense/2.25(wv)
0.407781 0.738844 	L-R offense/2.25(fwv)
0.410968 0.691359 	HITS(0.001)(tourn-wv)
0.411246 0.734515 	L-R offense/2(wv)
0.411315 0.734631 	L-R offense/2(fwv)
0.414445 0.730373 	L-R offense/1.75(wv)
0.414498 0.730357 	L-R offense/1.75(fwv)
0.414831 0.739928 	L-R offense/2.25(w/tv)
0.41575 0.684835 	Keener(0.001, +1, raw)(w/tv)
0.416281 0.687653 	Keener(0.001, +1, raw)(wv)
0.417121 0.726098 	L-R offense/1.5(fwv)
0.417201 0.726182 	L-R offense/1.5(wv)
0.417611 0.697093 	ODM(0.001)(w/tv)
0.418768 0.724178 	L-R offense/0.25(rel-margins)
0.418993 0.735495 	L-R offense/2(w/tv)
0.419517 0.721805 	L-R offense/1.25(wv)
0.419591 0.721764 	L-R offense/1.25(fwv)
0.420627 0.695449 	ODM(0.001)(wv)
0.420792 0.681855 	ODM(0.001)(tourn-wv)
0.421415 0.718309 	L-R offense/1(fwv)
0.421426 0.708243 	Gradual-[Copeland](None, cardinal)
0.42148 0.695569 	ODM(0.001)(fwv)
0.421539 0.718001 	L-R offense/1(wv)
0.422188 0.7167 	L-R offense/0.75(fwv)
0.422264 0.71679 	L-R offense/0.75(wv)
0.422339 0.716239 	L-R offense/0.5(wv)
