0 0.920973 	Random Pair
0.0137627 1.0039 	Antiplurality
0.0440296 0.787438 	Mode-Ratings
0.0804621 0.90846 	Keener(0.001, +0, raw)(rel-margins)
0.0807323 0.913257 	Keener(0.001, +0, raw)(fwv)
0.0880507 1.09725 	AVGEliminate-[Antiplurality]/fd
0.0908471 0.892859 	Keener(0.001, +0, raw)(tourn-wv)
0.102591 1.0203 	Keener(0.001, +0, raw)(w/tv)
0.128825 0.804828 	Eliminate-[Plurality]/fd
0.181249 0.965434 	[Smith(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.186771 1.03026 	[Smith(wv)],[AVGEliminate-[Antiplurality]/fd]
0.188683 0.943438 	[Smith(wv)],[Keener(0.001, +1, norm)(wv)]
0.191615 0.696068 	[Smith(wv)],[Worst Borda]
0.191937 0.952979 	[Smith(wv)],[Keener(0.001, +0, norm)(w/tv)]
0.1931 1.15054 	Sinkhorn(0.001, +0)(tourn-wv)
0.194819 0.997309 	[Smith(wv)],[Antiplurality]
0.195074 0.945356 	[Smith(wv)],[Keener(0.001, +0, norm)(wv)]
0.199019 1.16142 	Sinkhorn(0.001, +0)(fwv)
0.202722 1.17451 	Sinkhorn(0.001, +0)(rel-margins)
0.203085 1.15951 	Sinkhorn(0.001, +0)(wv)
0.208506 0.715088 	[Smith(wv)],[Eliminate-[Worst Borda]/fd]
0.211593 1.01736 	[Smith(wv)],[Eliminate-[Antiplurality]/fd]
0.213194 1.15787 	Sinkhorn(0.001, +0)(w/tv)
0.213601 0.705768 	[Smith(wv)],[AVGEliminate-[Worst Borda]/fd]
0.225048 1.22226 	VMedianOS-10(tiebreak)
0.226262 1.10969 	[Smith(wv)],[VMedianOS-10(norm, tiebreak)]
0.226355 1.11139 	[Smith(wv)],[VMedianOS-10(tiebreak)]
0.22905 1.20528 	VMedianOS-10(norm, tiebreak)
0.231295 0.800126 	[Smith(wv)],[AVGEliminate-[Reward worst]/fd]
0.234971 0.952223 	[Smith(wv)],[Mode-Ratings]
0.239539 0.788717 	[Smith(wv)],[Eliminate-[Reward worst]/fd]
0.242854 0.800691 	[Smith(wv)],[Reward worst]
0.245161 1.01951 	[Smith(wv)],[Ranked Pairs(tourn-wv)]
0.245869 1.08597 	[Smith(wv)],[Ranked Pairs(rel-margins)]
0.245929 1.01931 	Ranked Pairs(tourn-wv)
0.24597 1.05936 	[Smith(wv)],[Schulze(wv)]
0.246357 1.05956 	Schulze(wv)
0.246443 1.08461 	[Smith(wv)],[Ranked Pairs(fwv)]
0.246522 1.05917 	[Smith(wv)],[Schulze(keener)]
0.246592 1.08455 	Ranked Pairs(rel-margins)
0.246759 1.0599 	[Smith(wv)],[Schulze(fwv)]
0.246827 1.05903 	Schulze(rel-margins)
0.246831 1.0845 	[Smith(wv)],[Ranked Pairs(wv)]
0.247154 1.0596 	Schulze(keener)
0.247188 1.08422 	Ranked Pairs(fwv)
0.247203 1.0597 	Schulze(PO)
0.247349 1.06065 	[Smith(wv)],[Schulze(PO)]
0.247364 1.05977 	[Smith(wv)],[Schulze(w/tv)]
0.247437 1.05926 	[Smith(wv)],[Schulze(rel-margins)]
0.247602 1.06011 	Schulze(fwv)
0.247711 1.05948 	Schulze(w/tv)
