0 0.32685 	Keener(0.001, +1, norm)(w/tv)
0.00347132 0.318198 	Keener(0.001, +1, norm)(wv)
0.188251 0.925515 	Gradual-[CGTT(wv)](None, ordinal)
0.188281 0.927214 	Gradual-[CDTT(wv)](None, ordinal)
0.189426 0.937085 	Gradual-[CGTT(wv)](None, cardinal)
0.189523 0.937463 	Gradual-[CDTT(wv)](None, cardinal)
0.190247 0.940541 	Dodgson-Quick(keener)
0.190661 0.938218 	Gradual-[MDD(direct)(wv)](None, cardinal)
0.191178 0.929973 	Gradual-[MDD(direct)(wv)](None, ordinal)
0.19229 0.412336 	Antiplurality
0.210659 0 	Mode-Ratings
0.211767 0.765881 	Minmax(tourn-wv)
0.274027 0.262226 	AVGEliminate-[Antiplurality]/fd
0.292235 0.561751 	Gradual-[Condorcet](None, ordinal)
0.297763 0.821134 	Maximin(tourn-wv)
0.302912 0.505136 	Gradual-[Condorcet](None, cardinal)
0.341393 0.159198 	Eliminate-[Antiplurality]/fd
0.383689 0.509867 	VMedianOS-10(norm)
0.391057 0.361941 	Schulze(tourn-wv)
0.399198 0.518179 	VMedianOS-10()
0.402513 0.378586 	Gradual-[Smith(wv)](None, cardinal)
0.408054 0.385042 	Gradual-[Smith(wv)](None, ordinal)
0.442451 0.241127 	Ranked Pairs(tourn-wv)
0.461747 0.667211 	Gradual-[SDom(wv)](None, cardinal)
0.477688 0.681937 	Gradual-[SDom(wv)](None, ordinal)
0.499538 0.296947 	Ranked Pairs(keener)
0.499549 0.296936 	Ranked Pairs(PO)
0.501032 0.298793 	Ranked Pairs(fwv)
0.501037 0.298787 	Ranked Pairs(wv)
0.501041 0.298823 	Ranked Pairs(rel-margins)
0.501464 0.300257 	Ranked Pairs(w/tv)
0.5123 0.313578 	Schulze(rel-margins)
0.512332 0.313582 	Schulze(wv)
0.512345 0.313572 	Schulze(fwv)
0.512347 0.313545 	Schulze(PO)
0.512363 0.31354 	Schulze(keener)
0.512368 0.313569 	Schulze(w/tv)
0.51669 0.19458 	2. order Copeland
0.516695 0.19459 	2. order Copeland
0.516697 0.194578 	2. order Copeland
0.516697 0.194587 	2. order Copeland
0.516698 0.194585 	2. order Copeland
0.516705 0.194583 	2. order Copeland
0.516705 0.194587 	2. order Copeland
0.518415 0.266526 	HITS(0.001)(tourn-wv)
0.519228 0.437284 	VMedianOS-10(norm, tiebreak)
0.520376 0.254085 	L-R offense/1.75(tourn-wv)
0.520376 0.254086 	L-R offense/0.25(tourn-wv)
0.520377 0.25409 	Copeland
0.520379 0.254075 	Copeland
0.520381 0.254079 	Copeland
0.520381 0.254079 	L-R offense/1(tourn-wv)
0.520383 0.254081 	L-R offense/1.25(tourn-wv)
0.520384 0.254081 	Copeland
0.520384 0.254087 	Copeland
0.520384 0.25408 	L-R offense/2(tourn-wv)
0.520385 0.254078 	L-R offense/0.5(tourn-wv)
0.520385 0.254089 	L-R offense/2.25(tourn-wv)
0.520387 0.254078 	L-R offense/1.5(tourn-wv)
0.520387 0.254084 	L-R offense/0.75(tourn-wv)
0.520389 0.254089 	Copeland
0.520393 0.254087 	Copeland
0.525085 0.31859 	Gradual-[Schwartz(wv)](None, cardinal)
0.525704 0.240699 	Ext-Minmax(tourn-wv)
0.525705 0.240702 	L-R defense/2.25(tourn-wv)
0.525709 0.240705 	L-R defense/0.75(tourn-wv)
0.52571 0.240709 	Dodgson-Quick(tourn-wv)
0.525712 0.240705 	L-R defense/1.5(tourn-wv)
0.525712 0.240715 	L-R defense/2(tourn-wv)
0.525713 0.240702 	L-R defense/1(tourn-wv)
0.525714 0.240719 	Ext-Minmin(tourn-wv)
0.525715 0.240711 	Dodgson-Quick(fwv)
0.525715 0.240712 	L-R defense/0.5(tourn-wv)
0.525716 0.240714 	L-R defense/1.75(tourn-wv)
0.525716 0.240719 	L-R defense/0.25(tourn-wv)
0.525717 0.240701 	L-R defense/1.25(tourn-wv)
0.525722 0.24071 	Dodgson-Quick(rel-margins)
0.527444 0.317651 	Gradual-[Schwartz(wv)](None, ordinal)
0.532873 0.247428 	L-R both/2.25(tourn-wv)
0.532874 0.247415 	L-R both/1.5(tourn-wv)
0.532876 0.24742 	L-R both/0.75(tourn-wv)
0.532877 0.247419 	L-R both/2(tourn-wv)
0.532877 0.247424 	L-R both/1.75(tourn-wv)
0.532877 0.247432 	L-R both/0.25(tourn-wv)
0.532878 0.247425 	L-R both/0.5(tourn-wv)
0.532879 0.247427 	L-R both/1.25(tourn-wv)
0.532881 0.247426 	L-R both/1(tourn-wv)
0.534962 0.223288 	ODM(0.001)(tourn-wv)
0.536085 0.225726 	Keener(0.001, +1, raw)(tourn-wv)
0.540844 0.46339 	VMedianOS-10(tiebreak)
0.541006 0.233 	ODM-arctan(0.001)(tourn-wv)
0.541582 0.22292 	2. order Copeland/2/1
0.541583 0.222916 	2. order Copeland/2/1
0.541587 0.222916 	2. order Copeland/2/1
0.541588 0.222916 	2. order Copeland/2/1
0.541597 0.222916 	2. order Copeland/2/1
0.5416 0.222896 	2. order Copeland/2/1
0.541602 0.222907 	2. order Copeland/2/1
0.541781 0.297003 	HITS(0.001)(fwv)
0.541866 0.297067 	HITS(0.001)(wv)
0.542143 0.234794 	Sinkhorn(0.001, +1)(tourn-wv)
0.542663 0.269518 	Gradual-[Copeland](None, cardinal)
0.544344 0.290375 	HITS(0.001)(w/tv)
0.544427 0.228404 	Keener(0.001, +1, norm)(tourn-wv)
0.545105 0.269821 	Gradual-[Copeland](None, ordinal)
0.547907 0.263111 	Keener(0.001, +1, raw)(fwv)
0.548125 0.274819 	L-R offense/0.5(wv)
0.548171 0.274787 	L-R offense/0.25(fwv)
0.548176 0.274808 	L-R offense/0.5(fwv)
0.54818 0.274753 	L-R offense/0.25(wv)
0.548473 0.275367 	L-R offense/0.75(fwv)
0.548485 0.275327 	L-R offense/0.75(wv)
0.548845 0.276994 	L-R offense/1(wv)
0.548967 0.277107 	L-R offense/1(fwv)
0.549027 0.21521 	Keener(0.001, +1, raw)(wv)
0.54944 0.197699 	Gradual-[2. order Copeland](None, cardinal)
0.550264 0.280252 	L-R offense/1.25(wv)
0.550277 0.280242 	L-R offense/1.25(fwv)
0.550808 0.195957 	Gradual-[2. order Copeland](None, ordinal)
0.551542 0.284521 	L-R offense/0.25(rel-margins)
0.551957 0.285335 	L-R offense/1.5(fwv)
0.551957 0.285346 	L-R offense/1.5(wv)
0.553277 0.218833 	Gradual-[2. order Copeland/2/1](None, cardinal)
0.553361 0.290458 	L-R offense/1.75(wv)
0.553369 0.290504 	L-R offense/1.75(fwv)
0.553616 0.22535 	ODM(0.001)(fwv)
0.553634 0.239933 	Sinkhorn(0.001, +1)(wv)
0.553686 0.224603 	ODM(0.001)(wv)
0.554259 0.22114 	Gradual-[2. order Copeland/2/1](None, ordinal)
0.554564 0.296367 	L-R offense/2(wv)
0.554658 0.296342 	L-R offense/2(fwv)
0.555161 0.26399 	L-R offense/0.5(w/tv)
0.555229 0.263964 	L-R offense/0.25(w/tv)
0.555457 0.238482 	Sinkhorn(0.001, +1)(w/tv)
0.555479 0.264719 	L-R offense/0.75(w/tv)
0.555687 0.266971 	L-R offense/1(w/tv)
0.55589 0.302381 	L-R offense/2.25(wv)
0.555933 0.302372 	L-R offense/2.25(fwv)
0.557296 0.270759 	L-R offense/1.25(w/tv)
0.558022 0.274845 	ODM(0.001)(rel-margins)
0.558509 0.220495 	ODM(0.001)(w/tv)
0.55867 0.250381 	ODM-arctan(0.001)(fwv)
0.559051 0.277512 	L-R offense/1.5(w/tv)
0.559699 0.243123 	Ext-Minmin(w/tv)
0.55983 0.209435 	Keener(0.001, +1, raw)(w/tv)
0.559847 0.283519 	L-R offense/1.75(w/tv)
0.560505 0.175714 	Gradual-[Landau(wv)](None, cardinal)
0.560508 0.290017 	L-R offense/2(w/tv)
0.561273 0.296508 	L-R offense/2.25(w/tv)
