0 0.356108 0.204651	Gradual-[SDom(wv)](None, ordinal)
0.00402612 0.356358 0.204191	[SDom(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.0543208 0.431398 0.197471	Gradual-[SDom(wv)](None, cardinal)
0.0649405 0.427483 0.196355	[SDom(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.20599 0.100621 0.225016	Random Pair
0.218044 0.125629 0.210464	[SDom(wv)],[Random Pair]
0.2707 0.61283 0.129157	Antiplurality
0.271927 0.608473 0.125731	[SDom(wv)],[Antiplurality]
0.35184 0.344968 0.0370819	[SDom(wv)],[VMedianOS-10(tiebreak)]
0.423117 0.325513 0.0362441	Nauru Borda
0.441521 0 0.102713	Mode-Ratings
0.461796 0.572306 0.0177709	[SDom(wv)],[Keener(0.001, +1, norm)(PO)]
0.461913 0.572316 0.0177709	Keener(0.001, +1, norm)(PO)
0.495765 0.637699 0.0378788	Ext-Minmin(PO)
0.496007 0.637746 0.0378788	[SDom(wv)],[Ext-Minmin(PO)]
0.503516 0.251649 0.0442736	[SDom(wv)],[Eliminate-[Plurality]/fd]
0.503916 0.251453 0.044712	Eliminate-[Plurality]/fd
0.509791 0.606329 0.0289982	L-R offense/2.25(rel-margins)
0.509871 0.606373 0.0289982	[SDom(wv)],[L-R offense/2.25(rel-margins)]
0.511908 0.58879 0.0250771	[SDom(wv)],[L-R offense/2(rel-margins)]
0.511949 0.58884 0.0250771	L-R offense/2(rel-margins)
0.513921 0.577381 0.0227983	L-R offense/1.75(rel-margins)
0.513959 0.57746 0.0227983	[SDom(wv)],[L-R offense/1.75(rel-margins)]
0.515549 0.596469 0.0261373	HITS(0.001)(rel-margins)
0.515553 0.596459 0.0261373	[SDom(wv)],[HITS(0.001)(rel-margins)]
0.516411 0.563826 0.0197996	[SDom(wv)],[L-R offense/1.5(rel-margins)]
0.516496 0.563782 0.0197996	L-R offense/1.5(rel-margins)
0.525733 0.586832 0.0218369	[SDom(wv)],[L-R both/2.25(rel-margins)]
0.52582 0.586873 0.0218369	L-R both/2.25(rel-margins)
0.527001 0.526026 0.0132659	L-R offense/1.25(rel-margins)
0.527055 0.525997 0.0132659	[SDom(wv)],[L-R offense/1.25(rel-margins)]
0.532688 0.497453 0.00928377	L-R offense/1(rel-margins)
0.532688 0.497453 0.00928377	[SDom(wv)],[L-R offense/1(rel-margins)]
0.532812 0.421343 0.0097817	Dodgson-Quick(PO)
0.532887 0.421346 0.0097817	[SDom(wv)],[Dodgson-Quick(PO)]
0.533349 0.5657 0.0168244	L-R both/2(rel-margins)
0.533464 0.565747 0.0168244	[SDom(wv)],[L-R both/2(rel-margins)]
0.539314 0.547863 0.0134197	[SDom(wv)],[L-R both/1.75(rel-margins)]
0.539388 0.547843 0.0134197	L-R both/1.75(rel-margins)
0.541073 0.493786 0.00773069	Keener(0.001, +1, raw)(rel-margins)
0.541091 0.493837 0.00773069	[SDom(wv)],[Keener(0.001, +1, raw)(rel-margins)]
0.549248 0.454955 0.0060276	L-R offense/0.75(rel-margins)
0.549261 0.454947 0.0060276	[SDom(wv)],[L-R offense/0.75(rel-margins)]
0.549915 0.517928 0.00900376	[SDom(wv)],[L-R both/1.5(rel-margins)]
0.549927 0.517911 0.00900376	L-R both/1.5(rel-margins)
0.55302 0.497121 0.0067622	[SDom(wv)],[L-R defense/0.25(PO)]
0.553054 0.49712 0.0067622	L-R defense/0.25(PO)
0.554513 0.487939 0.0057258	[SDom(wv)],[L-R offense/2.25(PO)]
0.554529 0.487964 0.0057258	L-R offense/2.25(PO)
0.556851 0.480892 0.00510016	L-R offense/2(PO)
0.5569 0.48084 0.00510016	[SDom(wv)],[L-R offense/2(PO)]
0.557936 0.48493 0.00541741	[SDom(wv)],[L-R defense/0.5(PO)]
0.558025 0.484916 0.00541741	L-R defense/0.5(PO)
0.561331 0.474977 0.00464328	L-R offense/1.75(PO)
0.561345 0.474986 0.00464328	[SDom(wv)],[L-R offense/1.75(PO)]
0.561858 0.488004 0.00511891	HITS(0.001)(PO)
0.561909 0.488025 0.00511891	[SDom(wv)],[HITS(0.001)(PO)]
0.562395 0.492876 0.00573315	[SDom(wv)],[L-R both/1.25(rel-margins)]
0.562483 0.492859 0.00573315	L-R both/1.25(rel-margins)
0.563203 0.480419 0.00532239	L-R both/0.25(PO)
0.56321 0.480432 0.00532239	[SDom(wv)],[L-R both/0.25(PO)]
0.563375 0.472047 0.00452672	L-R offense/1.5(PO)
0.563405 0.472054 0.00452672	[SDom(wv)],[L-R offense/1.5(PO)]
0.564357 0.471785 0.00455636	L-R defense/0.75(PO)
