0 0.224663 0.259653	[SDom(wv)],[Random Pair]
0.0234595 0.405606 0.12773	Mode-Ratings
0.0332562 0.410024 0.124453	[SDom(wv)],[Mode-Ratings]
0.0576336 0.06383 0.28689	Gradual-[SDom(wv)](None, cardinal)
0.234554 0.244817 0.0409863	VMedianOS-10(tiebreak)
0.236664 0.245808 0.0408274	[SDom(wv)],[VMedianOS-10(tiebreak)]
0.300058 0 0.169311	[SDom(wv)],[Antiplurality]
0.33863 0.398723 0.0515856	[SDom(wv)],[Eliminate-[Antiplurality]/fd]
0.338946 0.398546 0.0515856	Eliminate-[Antiplurality]/fd
0.348667 0.43998 0.0425564	[SDom(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.348914 0.439031 0.0425611	AVGEliminate-[Nauru Borda]/fd
0.381241 0.443624 0.0524569	Ranked Pairs(tourn-wv)
0.381666 0.443397 0.0524569	[Schwartz(wv)],[Ranked Pairs(tourn-wv)]
0.381822 0.443191 0.0524569	[SDom(wv)],[Ranked Pairs(tourn-wv)]
0.38521 0.433536 0.0427722	[Schwartz(wv)],[AVGEliminate-[Plurality]/fd]
0.385696 0.426847 0.0594773	[SDom(wv)],[Gradual-[Condorcet](None, cardinal)]
0.387319 0.426065 0.0408903	[Schwartz(wv)],[Plurality]
0.388203 0.449942 0.0456731	[Schwartz(wv)],[Eliminate-[Plurality]/fd]
0.390846 0.43359 0.0476932	[Schwartz(wv)],[Gradual-[Condorcet](None, cardinal)]
0.392062 0.416147 0.0478825	[Schwartz(wv)],[Gradual-[Condorcet](None, ordinal)]
0.393088 0.420616 0.0379305	[Schwartz(wv)],[Keener(0.001, +1, norm)(wv)]
0.395226 0.413014 0.0438828	Gradual-[Smith(wv)](None, ordinal)
0.395403 0.413406 0.0438828	[Schwartz(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.396368 0.447933 0.0415086	[SDom(wv)],[Eliminate-[VoteForAgainst]/fd]
0.396626 0.447732 0.0415086	Eliminate-[VoteForAgainst]/fd
0.398461 0.445939 0.0409387	[Schwartz(wv)],[Eliminate-[VoteForAgainst]/fd]
0.39915 0.415273 0.0353775	[MDD(sum)(wv)],[Random Pair]
0.400992 0.44598 0.0398624	[Schwartz(wv)],[Eliminate-[NREM-Opt]/fd]
0.401034 0.445756 0.0398624	[SDom(wv)],[Eliminate-[NREM-Opt]/fd]
0.401113 0.446099 0.0398624	Eliminate-[NREM-Opt]/fd
0.404891 0.451972 0.0391574	[MDD(sum)(wv)],[Ranked Pairs(tourn-wv)]
0.405039 0.423187 0.0302438	[Schwartz(wv)],[Ranked Pairs(wv)]
0.405402 0.423304 0.0302438	Ranked Pairs(wv)
0.405475 0.42322 0.0302438	[SDom(wv)],[Ranked Pairs(fwv)]
0.405485 0.423311 0.0302438	[SDom(wv)],[Ranked Pairs(rel-margins)]
0.405546 0.422999 0.0300665	[SDom(wv)],[Ranked Pairs(PO)]
0.405558 0.422498 0.0300665	[Schwartz(wv)],[Ranked Pairs(PO)]
0.405558 0.423241 0.0302438	Ranked Pairs(rel-margins)
0.405583 0.423716 0.0302438	[SDom(wv)],[Ranked Pairs(wv)]
0.405623 0.423374 0.0302438	Ranked Pairs(fwv)
0.40566 0.423181 0.0302438	[Schwartz(wv)],[Ranked Pairs(fwv)]
0.405707 0.422958 0.0302438	[Schwartz(wv)],[Ranked Pairs(rel-margins)]
0.405872 0.422814 0.0300665	Ranked Pairs(PO)
0.405935 0.413635 0.0309831	[MDD(sum)(wv)],[Mode-Ratings]
0.406317 0.405331 0.0363683	[MDD(sum)(wv)],[HITS(0.001)(tourn-wv)]
0.406371 0.405874 0.0363683	[Schwartz(wv)],[HITS(0.001)(tourn-wv)]
0.406731 0.405934 0.0363683	HITS(0.001)(tourn-wv)
0.406738 0.433611 0.0320164	[Schwartz(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.406985 0.433824 0.0320164	AVGEliminate-[NREM-Opt]/fd
0.407001 0.433994 0.0320164	[SDom(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.407029 0.405539 0.0363683	[SDom(wv)],[HITS(0.001)(tourn-wv)]
0.407922 0.417507 0.0336349	[MDD(sum)(wv)],[Eliminate-[Antiplurality]/fd]
0.409785 0.445354 0.0343036	[MDD(sum)(wv)],[Eliminate-[Plurality]/fd]
0.412533 0.394166 0.0279324	[Schwartz(wv)],[VoteForAgainst]
0.412751 0.443112 0.0323717	[MDD(sum)(wv)],[Eliminate-[Nauru Borda]/fd]
0.414471 0.406814 0.0311525	[MDD(sum)(wv)],[AVGEliminate-[Antiplurality]/fd]
0.414773 0.424121 0.0302336	[MDD(sum)(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.415023 0.443301 0.0330228	[MDD(sum)(wv)],[Eliminate-[Borda]/fd]
0.415251 0.441957 0.032267	[MDD(sum)(wv)],[Eliminate-[NREM-Opt]/fd]
0.416512 0.448621 0.0327382	[Schwartz(wv)],[Gradual-[2. order Copeland](None, cardinal)]
0.416717 0.448982 0.0327382	[SDom(wv)],[Gradual-[2. order Copeland](None, cardinal)]
0.416876 0.448708 0.0327382	Gradual-[2. order Copeland](None, cardinal)
0.416967 0.447482 0.0327437	[Schwartz(wv)],[Gradual-[2. order Copeland](None, ordinal)]
0.416974 0.447154 0.0327437	[SDom(wv)],[Gradual-[2. order Copeland](None, ordinal)]
0.417356 0.447325 0.0327437	Gradual-[2. order Copeland](None, ordinal)
0.417505 0.418117 0.0290973	[MDD(sum)(wv)],[Plurality]
0.417838 0.431709 0.0307536	[SDom(wv)],[Minmax(rel-margins)]
0.417852 0.431694 0.0307536	[SDom(wv)],[Minmax(PO)]
0.417853 0.431869 0.0307536	Minmax(fwv)
0.417863 0.432053 0.0307536	Minmax(rel-margins)
0.417876 0.432071 0.0307536	Minmax(wv)
0.417886 0.43206 0.0307536	[SDom(wv)],[Minmax(wv)]
0.417886 0.432063 0.0307536	Minmax(PO)
